Pop1,Pop2,Pop3,Pop4,Pop5,Pop6,Pop7,Pop8,Pop9,Pop10,Pop11,Pop12,Pop13,Pop14,Pop15,Pop16,Pop17,Pop18,Pop19,Pop20,Pop21,Pop22,Pop23,Pop24
0.012560904,,,,,,,,,,,,,,,,,,,,,,,
0.011572894,0.012097371,,,,,,,,,,,,,,,,,,,,,,
0.013167251,0.013974229,0.012418173,,,,,,,,,,,,,,,,,,,,,
0.014837829,0.015465933,0.01417895,0.015632805,,,,,,,,,,,,,,,,,,,,
0.016384039,0.017248038,0.015950564,0.017206703,0.009511863,,,,,,,,,,,,,,,,,,,
0.017522898,0.017821184,0.01631681,0.017582298,0.009735223,0.011566519,,,,,,,,,,,,,,,,,,
0.018847731,0.019907643,0.017969835,0.019262141,0.013424345,0.014320394,0.014809395,,,,,,,,,,,,,,,,,
0.015853367,0.017211653,0.015659358,0.017057459,0.01148363,0.011344726,0.012968909,0.014921323,,,,,,,,,,,,,,,,
0.014646422,0.016046918,0.014736581,0.015633063,0.009739573,0.009718291,0.012340041,0.012828724,0.010646403,,,,,,,,,,,,,,,
0.024792725,0.025438828,0.024044588,0.025323775,0.021411967,0.019928936,0.02423148,0.021899839,0.019055171,0.019626753,,,,,,,,,,,,,,
0.020465678,0.02054954,0.019969074,0.020360531,0.013737264,0.014708084,0.015695713,0.017268638,0.014285309,0.012150673,0.023106449,,,,,,,,,,,,,
0.027192221,0.02852768,0.026493796,0.02784167,0.024864578,0.01985274,0.026255851,0.026136364,0.021006551,0.020882382,0.024884586,0.025667708,,,,,,,,,,,,
0.029095895,0.02992463,0.027648919,0.029091763,0.026519723,0.020471933,0.02820463,0.027862336,0.023104809,0.024353221,0.026099536,0.027607325,0.022515921,,,,,,,,,,,
0.028721198,0.029403882,0.027224766,0.029155985,0.024894601,0.022289727,0.027952063,0.026117112,0.024925804,0.023840912,0.029062167,0.027231634,0.027856825,0.027010592,,,,,,,,,,
0.021818946,0.021769469,0.021072618,0.022495659,0.015248966,0.013332839,0.019117533,0.020415956,0.017955081,0.015343006,0.024486026,0.017153715,0.024100585,0.02234148,0.020617604,,,,,,,,,
0.034217205,0.034292176,0.03315904,0.033675991,0.030247041,0.02684053,0.032730268,0.033294863,0.030480399,0.028353265,0.033357954,0.032146082,0.032744658,0.030688366,0.028017482,0.024184417,,,,,,,,
0.03417932,0.034884476,0.033624108,0.034976599,0.031533582,0.027639193,0.032955934,0.032256076,0.03039309,0.029103985,0.0347679,0.033730219,0.034525676,0.032506309,0.029979855,0.026252211,0.031479526,,,,,,,
0.032687567,0.033769724,0.031507568,0.032783711,0.028841716,0.024562447,0.030818647,0.030848767,0.028431543,0.026854198,0.030533348,0.030795461,0.030788769,0.03024115,0.025627517,0.022637004,0.029257252,0.027149906,,,,,,
0.021158179,0.021188328,0.020816147,0.021588098,0.014494669,0.013074064,0.017364192,0.018840652,0.016965839,0.013688336,0.024566753,0.016075713,0.02448166,0.026579276,0.020885497,0.011388495,0.026750962,0.028532734,0.024624682,,,,,
0.025555624,0.025805251,0.024894871,0.02628146,0.021282985,0.0188082,0.023763676,0.024823646,0.021651053,0.019910229,0.026571252,0.022292741,0.026771662,0.026992342,0.023119545,0.015911911,0.025720289,0.024185618,0.019467652,0.017750405,,,,
0.037070161,0.037887166,0.036281871,0.037962992,0.035005742,0.027348467,0.037013292,0.036934271,0.032099567,0.031843159,0.033721457,0.034561277,0.0315613,0.029739276,0.032825423,0.028206465,0.037233266,0.035771703,0.029215119,0.031583603,0.026440236,,,
0.036210928,0.036284736,0.034190727,0.036182286,0.033075918,0.029169378,0.035454469,0.035335398,0.031864991,0.031137952,0.035328186,0.034038178,0.033891519,0.031898825,0.031243486,0.02841617,0.035462355,0.033873122,0.029459213,0.030855296,0.026571081,0.031562842,,
0.021836226,0.023259897,0.021192934,0.02218251,0.016104339,0.013683312,0.017913696,0.020669336,0.016335263,0.015237415,0.023512017,0.020612796,0.022791465,0.022871823,0.023510453,0.017042887,0.027997225,0.02679723,0.024038683,0.017048033,0.019730535,0.02775289,0.027188079,
0.032662682,0.033766621,0.032121512,0.032847632,0.029360956,0.026873255,0.032617153,0.032779131,0.030378277,0.02792133,0.034253327,0.030563,0.034323927,0.033395208,0.030278688,0.023309684,0.032915004,0.03284634,0.028979325,0.025641847,0.023529847,0.035638272,0.032247434,0.026951796
